Name,Temperature,Humidity
June-15-2023T04-13-30,26.852,78.228
June-15-2023T04-17-09,26.831,78.259
June-15-2023T04-20-49,26.777,78.541
June-15-2023T04-24-27,26.745,78.648
June-15-2023T04-28-06,26.702,78.869
June-15-2023T04-31-44,26.638,79.128
June-15-2023T04-35-23,26.584,79.456
June-15-2023T04-39-01,26.552,79.678
June-15-2023T04-42-40,26.466,79.906
June-15-2023T04-46-18,26.402,80.151
June-15-2023T04-49-57,26.37,80.311
June-15-2023T04-53-36,26.305,80.54
June-15-2023T04-57-14,26.295,80.57
June-15-2023T05-00-53,26.295,80.647
June-15-2023T05-04-31,26.327,80.555
June-15-2023T05-08-10,26.338,80.471
June-15-2023T05-11-48,26.38,80.28
June-15-2023T05-15-27,26.423,80.067
June-15-2023T05-19-05,26.466,79.853
June-15-2023T05-22-44,26.477,79.784
June-15-2023T05-26-23,26.466,79.891
June-15-2023T05-30-01,26.456,79.906
June-15-2023T05-33-40,26.509,79.754
June-15-2023T05-37-18,26.531,79.617
June-15-2023T05-40-57,26.52,79.647
June-15-2023T05-44-36,26.541,79.617
June-15-2023T05-48-16,26.552,79.594
June-15-2023T05-51-55,26.595,79.51
June-15-2023T05-55-34,26.616,79.403
June-15-2023T05-59-14,26.616,79.403
June-15-2023T06-02-53,26.681,79.121
June-15-2023T06-06-32,26.713,79.06
June-15-2023T06-10-12,26.734,78.983
June-15-2023T06-13-51,26.799,78.869
June-15-2023T06-17-30,26.874,78.64
June-15-2023T06-21-10,26.992,78.175
June-15-2023T06-24-49,27.088,77.938
June-15-2023T06-28-28,27.228,77.404
June-15-2023T06-32-08,27.346,77.091
June-15-2023T06-35-47,27.517,76.496
June-15-2023T06-39-26,27.7,75.909
June-15-2023T06-43-06,27.882,75.42
June-15-2023T06-46-45,28.043,74.97
June-15-2023T06-50-25,28.247,74.322
June-15-2023T06-54-04,28.472,73.589
June-15-2023T06-57-44,28.772,72.651
June-15-2023T07-01-23,29.137,71.507
June-15-2023T07-05-03,29.48,70.507
June-15-2023T07-08-42,29.78,69.553
June-15-2023T07-12-21,30.059,68.737
June-15-2023T07-16-01,30.306,67.966
June-15-2023T07-19-40,30.671,66.761
June-15-2023T07-23-19,31.014,65.792
June-15-2023T07-26-59,31.507,64.297
June-15-2023T07-30-38,32.14,62.42
June-15-2023T07-34-18,32.751,60.497
June-15-2023T07-37-57,33.556,58.392
June-15-2023T07-41-36,34.574,55.828
June-15-2023T07-45-16,35.422,53.791
June-15-2023T07-48-55,36.055,52.036
June-15-2023T07-52-34,36.248,51.548
June-15-2023T07-56-14,35.851,52.532
June-15-2023T07-59-54,36.73,50.495
June-15-2023T08-03-34,37.438,48.847
June-15-2023T08-07-13,38.21,47.184
June-15-2023T08-10-52,38.832,46.009
June-15-2023T08-14-32,39.369,44.865
June-15-2023T08-18-11,40.162,43.453
June-15-2023T08-21-51,40.034,43.674
June-15-2023T08-25-30,40.666,42.69
June-15-2023T08-29-09,41.245,41.752
June-15-2023T08-32-49,41.16,41.904
June-15-2023T08-36-28,41.16,41.935
June-15-2023T08-40-08,41.857,40.966
June-15-2023T08-43-47,42.039,40.882
June-15-2023T08-47-26,40.859,42.82
June-15-2023T08-51-06,39.562,45.17
June-15-2023T08-54-45,39.229,45.979
June-15-2023T08-58-25,40.58,43.636
June-15-2023T09-02-05,41.91,41.485
June-15-2023T09-05-44,42.919,39.898
June-15-2023T09-09-24,43.337,39.31
June-15-2023T09-13-03,43.219,39.547
June-15-2023T09-16-43,41.16,42.843
June-15-2023T09-20-22,40.559,43.949
June-15-2023T09-24-01,40.076,44.819
June-15-2023T09-27-41,39.422,46.009
June-15-2023T09-31-20,40.656,44.01
June-15-2023T09-35-00,42.543,40.867
June-15-2023T09-38-39,44.066,38.868
June-15-2023T09-42-18,45.085,37.647
June-15-2023T09-43-42,45.568,36.755
June-15-2023T09-47-21,44.924,37.388
June-15-2023T09-51-00,45.149,37.365
June-15-2023T09-54-39,46.115,36.06
June-15-2023T09-58-18,45.857,36.35
June-15-2023T10-01-58,47.144,34.748
June-15-2023T10-05-37,47.112,34.626
June-15-2023T10-09-16,48.324,33.161
June-15-2023T10-12-55,48.442,33.031
June-15-2023T10-16-34,48.828,32.665
June-15-2023T10-20-13,49.182,32.07
June-15-2023T10-23-53,49.203,32.116
June-15-2023T10-27-32,49.032,32.307
June-15-2023T10-31-11,49.976,31.277
June-15-2023T10-34-50,50.523,30.445
June-15-2023T10-38-29,50.619,30.193
June-15-2023T10-42-08,50.823,29.972
June-15-2023T10-45-48,51.252,29.583
June-15-2023T10-49-27,50.705,30.079
June-15-2023T10-53-06,48.742,32.444
June-15-2023T10-56-45,48.742,32.566
June-15-2023T11-00-24,49.053,32.101
June-15-2023T11-04-03,50.115,30.911
June-15-2023T11-07-43,49.418,31.506
June-15-2023T11-11-22,48.131,33.1
June-15-2023T11-15-01,49.096,31.849
June-15-2023T11-18-41,49.686,30.956
June-15-2023T11-22-20,50.019,30.109
June-15-2023T11-25-59,50.705,29.415
June-15-2023T11-29-38,51.316,28.721
June-15-2023T11-33-17,51.777,28.164
June-15-2023T11-36-56,51.981,27.882
June-15-2023T11-40-36,51.992,27.813
June-15-2023T11-44-15,51.895,27.76
June-15-2023T11-47-54,52.035,27.607
June-15-2023T11-51-33,52.324,27.424
June-15-2023T11-55-12,52.636,26.974
June-15-2023T11-58-51,52.796,26.691
June-15-2023T12-02-31,53.161,26.341
June-15-2023T12-06-10,53.429,26.119
June-15-2023T12-09-49,53.418,25.951
June-15-2023T12-13-28,53.225,25.982
June-15-2023T12-17-07,53.633,25.631
June-15-2023T12-20-46,54.201,25.089
June-15-2023T12-24-26,55.07,24.265
June-15-2023T12-28-06,55.563,23.8
June-15-2023T12-31-45,55.832,23.563
June-15-2023T12-35-24,55.982,23.403
June-15-2023T12-39-03,56.132,23.159
June-15-2023T12-42-42,55.714,23.518
June-15-2023T12-46-21,54.577,24.441
June-15-2023T12-50-01,54.309,24.586
June-15-2023T12-53-40,54.877,24.082
June-15-2023T12-57-19,55.639,23.464
June-15-2023T13-00-58,55.263,23.647
June-15-2023T13-04-37,55.799,23.136
June-15-2023T13-08-16,56.1,22.823
June-15-2023T13-11-56,56.303,22.541
June-15-2023T13-15-35,56.379,22.381
June-15-2023T13-19-14,56.818,22.03
June-15-2023T13-22-53,56.572,22.228
June-15-2023T13-26-32,56.797,21.984
