,pc1,pc2,pc3,hum,temp,target
36,6.641203539024374,-2.7769287345653866,-1.692590167751612,38.052,44.227,90312.0
37,6.707953749035,-2.8222177535384034,-1.731396902539592,37.617,45.096,89914.0
38,6.7914767349346095,-2.958395126744363,-1.7864919793905565,32.749,48.828,89514.0
39,7.481013999344433,-3.1932113926164605,-1.4304507059898333,33.062,48.185,89117.0
40,7.014491235671485,-2.9450930006389595,-1.9916897231164175,33.794,46.587,88716.0
41,7.650892468904873,-3.5307969472330587,-1.4557932841634382,31.567,48.152,88315.0
42,7.906414024063756,-3.375521224399225,-1.143422570878319,30.384,48.86,87914.0
43,7.723094491861618,-3.4444449048207986,-1.5092491785276572,29.552,49.439,87516.0
44,5.754131336238729,-0.8271927193029456,-2.705288599000494,29.095,48.892,87114.0
45,5.225354004419496,1.1444637952623469,-2.9236657487802655,30.552,46.983,86712.0
46,5.140770350992724,2.474184503698837,-3.671381560070023,32.558,44.956,86309.0
47,4.6509836646951666,3.5916492334681656,-3.6840779872727616,35.007,43.412,85907.0
48,4.783826334135642,3.2238617666514706,-3.647606521197399,38.235,40.613,85504.0
49,5.29224596381099,1.3750467659771326,-3.1011864010278005,39.486,39.411,85103.0
50,5.1557065983044215,1.7464805542405066,-3.4413643648930434,41.66,38.864,84698.0
51,5.340866773541539,1.6954947847228032,-3.4515987069247624,43.545,38.242,84298.0
52,5.024684687416707,2.223027061697263,-3.494966473008019,45.368,37.695,83890.0
53,4.743258740881247,2.679099236459331,-3.6413503222268875,46.474,37.513,83488.0
54,5.339087700185598,2.1207426508939182,-3.401905788827772,48.634,36.966,83082.0
55,5.524011127196195,-0.3051767901950091,-2.3303692225962407,50.312,36.494,82677.0
56,5.436565322891745,-1.0141184349274632,-2.3036203991571567,50.587,36.441,82271.0
57,5.429863290701832,-0.6928698939019485,-2.358254840305574,52.258,35.883,81868.0
58,5.137992902015281,-0.04534341349081321,-2.633243264411518,53.883,35.357,81460.0
59,5.099044593331971,1.012165861603265,-2.780363603881546,55.111,34.832,81053.0
60,5.004783011345111,1.9073594636277056,-3.161736811864526,55.47,34.607,80644.0
61,4.715813001216298,2.4181922576736925,-3.4286405144918146,56.904,33.985,80239.0
