Image, TS, Inference, Score, Temperature, Humidity
clipped_image_June-16-2023T12-39-08.ppm, June-16-2023T12-39-08,0,0.9609,55.456,22.61
clipped_image_June-16-2023T12-42-47.ppm, June-16-2023T12-42-47,0,0.9531,55.499,22.732
clipped_image_June-16-2023T12-46-27.ppm, June-16-2023T12-46-27,0,0.9453,55.531,22.945
clipped_image_June-16-2023T12-50-06.ppm, June-16-2023T12-50-06,0,0.9414,55.649,22.831
clipped_image_June-16-2023T12-53-45.ppm, June-16-2023T12-53-45,0,0.9414,55.767,22.671
clipped_image_June-16-2023T12-57-24.ppm, June-16-2023T12-57-24,0,0.9335,55.928,22.434
clipped_image_June-16-2023T13-01-04.ppm, June-16-2023T13-01-04,0,0.9492,56.046,22.19
clipped_image_June-16-2023T13-04-43.ppm, June-16-2023T13-04-43,0,0.9453,55.853,22.083
clipped_image_June-16-2023T13-08-22.ppm, June-16-2023T13-08-22,0,0.9453,55.242,22.472
clipped_image_June-16-2023T13-12-02.ppm, June-16-2023T13-12-02,0,0.9453,55.049,22.709
clipped_image_June-16-2023T13-15-41.ppm, June-16-2023T13-15-41,0,0.9257,55.134,22.793
clipped_image_June-16-2023T13-19-20.ppm, June-16-2023T13-19-20,0,0.9023,55.445,22.778
clipped_image_June-16-2023T13-22-59.ppm, June-16-2023T13-22-59,1,0.5195,53.461,24.57
clipped_image_June-16-2023T13-26-38.ppm, June-16-2023T13-26-38,0,0.9062,51.992,25.936
clipped_image_June-16-2023T13-30-17.ppm, June-16-2023T13-30-17,0,0.8945,52.893,25.158
clipped_image_June-16-2023T13-33-57.ppm, June-16-2023T13-33-57,0,0.8789,53.44,24.86
clipped_image_June-16-2023T13-37-36.ppm, June-16-2023T13-37-36,0,0.8867,54.62,23.983
clipped_image_June-16-2023T13-41-15.ppm, June-16-2023T13-41-15,0,0.8984,55.606,23.212
clipped_image_June-16-2023T13-44-54.ppm, June-16-2023T13-44-54,0,0.8789,56.11,22.861
clipped_image_June-16-2023T13-48-33.ppm, June-16-2023T13-48-33,0,0.8828,56.561,22.312
clipped_image_June-16-2023T13-52-12.ppm, June-16-2023T13-52-12,0,0.8789,56.84,21.816
clipped_image_June-16-2023T13-55-52.ppm, June-16-2023T13-55-52,0,0.8515,56.711,21.77
clipped_image_June-16-2023T13-59-31.ppm, June-16-2023T13-59-31,0,0.8515,57.119,21.374
clipped_image_June-16-2023T14-03-10.ppm, June-16-2023T14-03-10,0,0.8398,57.473,20.977
clipped_image_June-16-2023T14-06-49.ppm, June-16-2023T14-06-49,0,0.8398,57.387,20.962
clipped_image_June-16-2023T14-10-29.ppm, June-16-2023T14-10-29,0,0.8359,57.054,20.908
clipped_image_June-16-2023T14-14-09.ppm, June-16-2023T14-14-09,0,0.7968,56.539,21.076
clipped_image_June-16-2023T14-17-48.ppm, June-16-2023T14-17-48,0,0.8007,56.743,21.015
clipped_image_June-16-2023T14-21-27.ppm, June-16-2023T14-21-27,0,0.832,57.14,20.786
clipped_image_June-16-2023T14-25-06.ppm, June-16-2023T14-25-06,0,0.8085,57.515,20.336
clipped_image_June-16-2023T14-28-45.ppm, June-16-2023T14-28-45,0,0.7812,57.397,20.382
clipped_image_June-16-2023T14-32-24.ppm, June-16-2023T14-32-24,0,0.789,56.947,20.687
clipped_image_June-16-2023T14-36-04.ppm, June-16-2023T14-36-04,0,0.7812,56.883,20.771
clipped_image_June-16-2023T14-39-43.ppm, June-16-2023T14-39-43,0,0.8242,56.818,20.931
clipped_image_June-16-2023T14-43-22.ppm, June-16-2023T14-43-22,0,0.8046,57.483,20.634
clipped_image_June-16-2023T14-47-01.ppm, June-16-2023T14-47-01,0,0.7539,57.912,20.489
clipped_image_June-16-2023T14-50-40.ppm, June-16-2023T14-50-40,0,0.7578,57.548,20.634
clipped_image_June-16-2023T14-54-19.ppm, June-16-2023T14-54-19,0,0.7851,56.818,21.099
clipped_image_June-16-2023T14-57-58.ppm, June-16-2023T14-57-58,0,0.7187,56.164,21.473
clipped_image_June-16-2023T15-01-38.ppm, June-16-2023T15-01-38,0,0.7187,56.1,21.603
clipped_image_June-16-2023T15-05-17.ppm, June-16-2023T15-05-17,0,0.7304,55.885,21.839
clipped_image_June-16-2023T15-08-56.ppm, June-16-2023T15-08-56,0,0.7304,55.692,22.129
clipped_image_June-16-2023T15-12-35.ppm, June-16-2023T15-12-35,0,0.746,55.671,22.152
clipped_image_June-16-2023T15-16-14.ppm, June-16-2023T15-16-14,0,0.6914,55.381,22.396
clipped_image_June-16-2023T15-19-54.ppm, June-16-2023T15-19-54,0,0.6914,55.467,22.442
clipped_image_June-16-2023T15-23-33.ppm, June-16-2023T15-23-33,0,0.7382,54.813,22.984
clipped_image_June-16-2023T15-27-12.ppm, June-16-2023T15-27-12,0,0.7382,53.847,23.708
clipped_image_June-16-2023T15-30-51.ppm, June-16-2023T15-30-51,0,0.6679,54.427,23.296
clipped_image_June-16-2023T15-34-30.ppm, June-16-2023T15-34-30,0,0.6484,54.695,23.113
clipped_image_June-16-2023T15-38-09.ppm, June-16-2023T15-38-09,0,0.7031,54.727,23.151
clipped_image_June-16-2023T15-41-49.ppm, June-16-2023T15-41-49,0,0.7031,54.298,23.495
clipped_image_June-16-2023T15-45-28.ppm, June-16-2023T15-45-28,0,0.6914,54.18,23.609
clipped_image_June-16-2023T15-49-07.ppm, June-16-2023T15-49-07,0,0.6289,53.933,23.93
clipped_image_June-16-2023T15-52-46.ppm, June-16-2023T15-52-46,0,0.6406,53.161,24.54
clipped_image_June-16-2023T15-56-25.ppm, June-16-2023T15-56-25,0,0.6406,52.614,25.089
clipped_image_June-16-2023T16-00-04.ppm, June-16-2023T16-00-04,0,0.664,52.721,25.059
clipped_image_June-16-2023T16-03-44.ppm, June-16-2023T16-03-44,0,0.5234,52.518,25.341
clipped_image_June-16-2023T16-07-23.ppm, June-16-2023T16-07-23,0,0.6289,52.378,25.539
clipped_image_June-16-2023T16-11-02.ppm, June-16-2023T16-11-02,0,0.6406,51.767,25.99
clipped_image_June-16-2023T16-14-41.ppm, June-16-2023T16-14-41,0,0.6406,51.735,25.738
clipped_image_June-16-2023T16-18-20.ppm, June-16-2023T16-18-20,0,0.6093,51.07,26.104
clipped_image_June-16-2023T16-22-00.ppm, June-16-2023T16-22-00,0,0.621,50.662,26.203
